Місто,Район,Вулиця,ЖК,Клас ЖК,Однокімнатні квартири,Площа від,Ціна за м2 в грн,Ціна за м2 в дол,Двохкімнатні квартири,Площа від,Ціна за м2 в грн,Ціна за м2 в дол,Трьохкімнатні квартири,Площа від,Ціна за м2 в грн,Ціна за м2 в дол,Рік побудування,Метро,Навчальні заклади,Лікарня,"ТЦ, ринок, магазини",Паркові зони,Транспортна розв'язка,Школа,Дитячий садок,URL
Київ,метро Червоний хутір,"вул. Поліська, 4",ЖК Вудсторія (Woodstoria),Клас комфорт,2 планування,None,None,None,3 планування,None,None,None,None,None,None,None,Всі секції,Червоний хутір 16 хв Бориспільська 23 хв Вирлиця 25 хв ,3 хв Заклад дошкільної освіти комбінованого типу №99 6 хв Дитячий садок №652,5 хв Центр первинної медико-санітарної допомоги №1 Дарницького району 5 хв Поліклініка №2 Дарницького району міста Києва,"8 хв Продуктовий магазин ""Пчілка маркет"" 22 хв Торговий центр ""MercedesRent-Kiev"" 27 хв Магазин взуття ""Белста"" 43 хв Дисконтний супермаркет АТБ-Маркет",2 хв Рембазовський парк 8 хв Меморіал,32 хв ст. м. Червоний Хутір 41 хв ст. м. Бориспільська,,,https://dom.ria.com/uk/novostroyka-zhk-vudstoriia-7291/
Київ,метро Оболонь,Оболонський,ЖК Obolon Plaza (Оболонь Плаза),Клас бізнес,3 планування,None,None,None,3 планування,None,None,None,None,None,None,None,None,Оболонь 1 хв Мінська 21 хв Почайна(Петрівка) 23 хв ,"6 хв VDALO - курси підготовки до ЗНО 7 хв Приватний навчальний заклад  ""Школа астрології InGenium"" 8 хв Загальноосвітня школа  №225","4 хв Медичний центр «Амбулаторія спини» 5 хв Центр остеопатії, масажу та реабілітації ""Soul and Body Center"" 7 хв Медичний центр ""ЕKO 3D KT""","5 хв БФК LAKE PLAZA (ТРЦ Метрополіс) 5 хв Супермаркет ""Велмарт"" 11 хв ТРЦ Dream Town 15 хв Магазин товарів для дітей ""Чікко""",3 хв Світломузичний фонтан біля станції метро «Оболонь» 4 хв Сквер на Оболонській площі,3 хв ст. м. Оболонь 18 хв ст. м. Мінська,,,https://dom.ria.com/uk/novostroyka-zhk-obolon-plaza-7304/
Київ,метро Сирець,Шевченківський,ЖК Сирецький парк-2,Клас комфорт,11 планувань,None,None,None,4 планування,None,None,None,None,None,None,None,Всі секції,Сирець 10 хв Дорогожичі 21 хв Берестейська 40 хв ,"4 хв Центр раннього розвитку ""Happy zone""","9 хв Медичний центр ""Сирець"" 10 хв Філія №2, КНП ""ЦПМСД №3"" Шевченківського району","9 хв Зоомагазин ""ANIMAL KINGDOM SHOP"" 14 хв Салон краси ""Магия Красоты"" 16 хв Дисконтний супермаркет АТБ-маркет 16 хв ТОВ «Торговий дім Еверест ЛТД»","10 хв Парк ""Сирецький гай"" 14 хв Парк ""Каштановий гай""",37 хв На вимогу 47 хв вул. Івана Кавалерідзе,8 хв Спеціалізована школа І-ІІІ ступенів №28 (з поглибленим вивченням англійської мови),9 хв Заклад дошкільної освіти №159 з яслами (з 2-Х років),https://dom.ria.com/uk/novostroyka-zhk-syretskyi-park-2-7317/
Київ,метро Дружби народів,Печерський,ЖК Struetinsky Residence (Струтинський Резіденс),Клас бізнес,3 квартири,від 123.18 м²,від 2 599 $ за м²,від 320 145 $,5 квартир,від 123.18 м²,від 2 599 $ за м²,від 320 145 $,1 квартира,від 123.18 м²,від 2 599 $ за м²,від 320 145 $,None,Дружби народів 15 хв Печерська 22 хв Либідська 16 хв ,4 хв Школа боротьби 5 хв Спеціалізована дитячо-юнацька спортивна школа олімпійського резерву №9,"5 хв Клініка естетичної медицини ""Z beauty"" 6 хв Медичний центр ""Центр Здоровья"" 7 хв Медичний центр ""ФармаКлиника""","7 хв Супермаркет ""Сільпо"" 12 хв Походи в Карпати, рафтинг Південний Буг, Черемош в Карпатах - Extreem-Weekend 14 хв Торговий центр ""Дім Покупок"" 17 хв Торговий центр SWEETBOX Show Room","9 хв Сквер ""Дружби народів""",7 хв вул. Бастіонна 15 хв ст. м. Дружби народів,5 хв Загальноосвітня школа  I-III ступенів №133,,https://dom.ria.com/uk/novostroyka-zhk-struetinsky-residence-7319/
Київ,Оболонський,"вул. Федора Максименка(Червонофлотська), 7а",ЖК Pusha house (Пуща Хаус),Клас бізнес,4 планування,від 96.92 м²,від 1 250 $ за м²,від 125 863 $,5 планувань,від 96.92 м²,від 1 250 $ за м²,від 125 863 $,8 планувань,від 96.92 м²,від 1 250 $ за м²,від 125 863 $,None,None,"4 хв Приватний дитячий садок ""Мандаринка""","5 хв Амбулаторія №7, КНП ""ЦПМСД №2"" Оболонського району 5 хв Київський міський клінічний госпіталь ветеранів війни 5 хв Амбулаторія №3, КНП ЦПМСД №2","54 хв ТЦ ""Епіцентр"" 54 хв Салон манікюру та педикюру ""Beauty Box"" 59 хв Торговий центр «Lavina Mall»",7 хв Сквер 8 хв Пуща Водиця,36 хв вул. Садова,4 хв Санаторна школа-інтернат І-ІІ ступенів №21 10 хв Спеціальна школа-інтернат І ступеня №25 для дітей з затримкою психічного розвитку,,https://dom.ria.com/uk/novostroyka-zhk-pusha-house-7320/
Київ,метро Лук'янівська,Шевченківський,ЖК Геометрія,Клас комфорт,1 планування,None,None,None,None,None,None,None,None,None,None,None,None,Лук'янівська 21 хв Тараса Шевченка 22 хв Контрактова площа 27 хв ,,,,,,,,https://dom.ria.com/uk/novostroyka-zhk-geometriia-7321/
Київ,Дарницький,"шосе Харківське, 22 км",ЖК O2 Residence (О2 Резіденс),Клас комфорт,4 планування,від 88.53 м²,від 929 $ за м²,від 82 259 $,2 планування,від 88.53 м²,від 929 $ за м²,від 82 259 $,2 планування,від 88.53 м²,від 929 $ за м²,від 82 259 $,Всі секції,Бориспільська 59 хв ,42 хв Спеціалізована школа І-ІІІ ступенів №305 з поглибленим вивченням іноземної мови 51 хв Дитячий садок Академія розвитку талантів,"41 хв Амбулаторія №15 КНП ""ЦПМСД №2"" Дарницького району 51 хв ЦФР ""Крок за Кроком"" (физическая и психологическая реабилитация детей с ДЦП, а так же воинов АТО)","54 хв Супермаркет ""Еко Маркет""",27 хв Парк 29 хв Страйкбол 2,55 хв ст. м. Бориспільська,,,https://dom.ria.com/uk/novostroyka-zhk-o2-residence-7328/
Київ,метро Академмістечко,Святошинський,ЖК 4U (4Ю),Клас комфорт,4 планування,None,None,None,2 планування,None,None,None,None,None,None,None,Всі секції,Академмістечко 14 хв Житомирська 11 хв Святошин 15 хв ,13 хв Школа менеджерів з персоналу,"3 хв Медична лабораторія ""Сінево"" 6 хв Медичний центр Державної служби України з надзвичайних ситуацій (Медичний центр ДСНС України)","5 хв ТОВ  ""САМПЛІТ"" 9 хв Студія паркету ""Styles House"" 13 хв Магазин Косметологічного обладнання - Willshop.com.ua",13 хв Річка Любка 42 хв Голосіївський природний парк,"5 хв станція Новобіличі 12 хв ст. м. ""Академмістечко"" 30 хв вул. Павленко",,"4 хв Дитячий садок «Весела хатинка» 7 хв Дитячий  садок ""Карамелька""",https://dom.ria.com/uk/novostroyka-zhk-4u-7342/
Київ,метро Почайна(Петрівка),Оболонський,ЖК Boston Creative House (Бостон Креатів Хаус),Клас комфорт,3 планування,від 86.72 м²,від 1 300 $ за м²,від 112 761 $,2 планування,від 86.72 м²,від 1 300 $ за м²,від 112 761 $,1 планування,від 86.72 м²,від 1 300 $ за м²,від 112 761 $,None,Почайна(Петрівка) 11 хв Тараса Шевченка 28 хв Оболонь 18 хв ,16 хв Козацька лицарська школа,"21 хв Медичний центр ""Симетрія"" (Оболонь) 22 хв М24 Центр діагностики 22 хв Медичний Центр доктора Бубновського (Оболонь)","3 хв Бізнес-центр ""Макрос"" 13 хв Торговий центр ""Смарт-Молл"" 20 хв Магазин мобільних пристроїв ""ExpertMobile""",16 хв Японський парк 25 хв Сквер,16 хв ст. м. Почайна 19 хв ст. м. Тараса Шевченка,,"23 хв Дошкільний навчальний заклад (ясла-садок) компенсуючого типу, санаторний №609 23 хв Дитячий садок №605",https://dom.ria.com/uk/novostroyka-zhk-boston-creative-house-7361/
Київ,метро Васильківська,Голосіївський,ЖК Liko-Grad Perfect Town (Ліко-Град Перфект Таун),Клас комфорт,63 квартири,від 100.51 м²,від 988 $ за м²,від 103 087 $,2 квартири,від 100.51 м²,від 988 $ за м²,від 103 087 $,42 квартири,від 100.51 м²,від 988 $ за м²,від 103 087 $,Всі секції,Васильківська 19 хв Виставковий центр 28 хв Іподром 29 хв ,"4 хв Дитячий центр ""Masha & Misha""","4 хв Клініка судинних інновацій 5 хв Дитяча поліклініка Мамин будинок 6 хв Клініка еститичної медицини ""HMC esthetic"" 6 хв Ветеринарна клініка ""Vet House""","6 хв Магазин дверей ""ЮНА-двери"" 12 хв Постачальник продуктів харчування ""Спайс Ленд"" 14 хв Бізнес-центр ""Форум Вікторія Парк""","9 хв Сквер Вільних людей 12 хв Парк в ЖК ""Skyland 2""","18 хв ст. м. ""Васильківська"" 29 хв ст. м. Виставковий центр 31 хв Зупинка БО «Школа-сходинки»",,"6 хв Ясла - садок ""Платоша""",https://dom.ria.com/uk/novostroyka-zhk-liko-grad-perfect-town-7364/
Київ,метро Контрактова площа,Оболонський,ЖК Dock32 (Док32),Клас комфорт,1 квартира,None,None,None,None,None,None,None,None,None,None,None,None,Контрактова площа 19 хв Тараса Шевченка 21 хв Почайна(Петрівка) 23 хв ,"16 хв Приватна школа ""ISPACE SCHOOL"" 20 хв Дитячий центр ""Montessori Together 3-6"" 21 хв Приватний дитячий садок «Active Child School»","18 хв Амбулаторія №3, КНП ""ЦПМСД №1"" Подільського району 19 хв Лікарня ""Healthy Tonsils""","7 хв ТЦ ""Епіцентр"" 12 хв ТРЦ ""Блокбастер"" 14 хв Магазин спортивних товарів ""Про ролики""","19 хв Парк «Сад каменів» 20 хв Парк ""Стоун"" 41 хв Зона для прогулянок ""LevelUp""","17 хв станція ""Оболонь""",,,https://dom.ria.com/uk/novostroyka-zhk-dock32-7371/
Київ,метро Вокзальна,Шевченківський,ЖК Franklin Concept House (Франклін Концепт Хаус),Клас бізнес,2 планування,від 98.63 м²,від 1 736 $ за м²,від 171 172 $,2 планування,від 98.63 м²,від 1 736 $ за м²,від 171 172 $,2 планування,від 98.63 м²,від 1 736 $ за м²,від 171 172 $,None,Вокзальна 16 хв Університет 18 хв Золоті ворота 21 хв ,4 хв Інститут демографії та соціальних досліджень імені М. В. Птухи НАН України 6 хв Гімназія НПУ імені М.П.Драгоманова 9 хв Середня загальноосвітня школа І-ІІІ ступенів №58,"2 хв Медичний центр ""МЕД-ХЕЛП+"" (меддовідки для водіїв, санітарні книжки, довідки до басейну) 5 хв Медичний центр ""Центр естетичної медицини""","8 хв ТЦ Універмаг ""Україна"" 8 хв Торговий центр ""Европа плаза"" 11 хв Ювелірна майстерня ""ZADOROZHNIY JEWELLERY""",8 хв Сквер на Тургенівській 9 хв Сквер ім. Чкалова 11 хв Парк імені Олеся Гончара,6 хв пл. Перемоги,,,https://dom.ria.com/uk/novostroyka-zhk-franklin-concept-house-7383/
Київ,"метро Палац ""Україна""",Печерський,ЖК Washington Concept House (Вашингтон Концепт Хаус),Клас бізнес,1 планування,від 113.79 м²,від 1 597 $ за м²,від 181 690 $,2 планування,від 113.79 м²,від 1 597 $ за м²,від 181 690 $,2 планування,від 113.79 м²,від 1 597 $ за м²,від 181 690 $,None,"Палац ""Україна"" 6 хв Олімпійська 13 хв Либідська 16 хв ","2 хв Мовна школа ШОНА 3 хв Школа акторської майстерності ""Класік"" 6 хв Приватна Київська науково-дослідницька школа «Базис» 12 хв Національний університет фізичного виховання і спорту України","2 хв Амбулаторія №4, КНП ""ЦПМСД №2"" Голосіївського району 2 хв Філія №2, КНП ""КДЦ"" Голосіївського району 3 хв Стоматологічна клініка ""Анна-Дент"" 9 хв Стоматологічна клініка ""Impress Kyiv""","11 хв Магазин одягу ""Marco Zarini"" 12 хв Магазин кальянів ""Кальянчик""",7 хв Парк Поліцейський скверик,8 хв ст. м. Палац «Україна»,,,https://dom.ria.com/uk/novostroyka-zhk-washington-concept-house-7388/
Київ,метро Кловська,Печерський,ЖК Philadelphia Concept House (Філадельфія Концепт Хаус),Клас бізнес,1 планування,None,None,None,None,None,None,None,None,None,None,None,None,Кловська 9 хв Арсенальна 17 хв Печерська 19 хв ,3 хв Школа професійної майстерності перукарів Дюденко,"3 хв Медична клініка ""МедЦентрСервіс"" 4 хв Украинский научно-практический центр эндокринной хирургии, трансплантации эндокринных органов и тканей МОЗ Украины 15 хв Косметолог ""Uspix""","8 хв Винний магазин ""goodwine"" 17 хв Торговий центр ""Арсенал"" 18 хв Магазин АТБ маркет",5 хв Майданчик для дресирування собак 10 хв Зона для прогулянок,6 хв узвіз Кловський 7 хв вул. Михайла Омеляновича-Павленка,,"9 хв Дитячий садок №241 10 хв Заклад дошкільної освіти №653 ""Чебурашка""",https://dom.ria.com/uk/novostroyka-zhk-philadelphia-concept-house-7389/
Київ,метро Поштова площа,Подільський,ЖК Saga City Space (Cага Сіті Спейс),Клас бізнес,2 квартири,None,None,None,None,None,None,None,None,None,None,None,None,Поштова площа 5 хв Контрактова площа 10 хв Майдан Незалежності 29 хв ,"2 хв Вища школа адвокатури Національної асоціації адвокатів України 3 хв Школа іноземних мов ""Wake Up""","2 хв Медичний центр ""Призма"" 3 хв Поліклініка Республіканської клінічної лікарні 3 хв Республіканська клінічна лікарня","2 хв Караоке-бар ""Фіджі"" 3 хв Туроператор «Тур-Град» 8 хв Торговий центр ""Самсон"" 8 хв Магазин взуття  ""Gold Imperia fashion""",,8 хв ст. м. Контрактова площа,,"4 хв Заклад дошкільної освіти №307 ""Барвінок""",https://dom.ria.com/uk/novostroyka-zhk-saga-city-space-7390/
Київ,метро Мінська,Оболонський,ЖК Polaris Home&Plaza (Поларіс),Клас комфорт,6 планувань,від 81.48 м²,від 773 $ за м²,від 66 162 $,7 планувань,від 81.48 м²,від 773 $ за м²,від 66 162 $,4 планування,від 81.48 м²,від 773 $ за м²,від 66 162 $,Всі секції,Мінська 17 хв Героїв Дніпра 19 хв Оболонь 21 хв ,"8 хв Заклад дошкільної освіти №580 ""Ольвія"" 11 хв Середня загальноосвітня школа І-ІІІ ступенів №285 11 хв Школа раннього розвитку ""Маленький ерудит"" 13 хв Заклад дошкільної освіти №804 ""Веселка""","16 хв Ветеринарна клініка ""ВетМакс"" 24 хв Київський міський протитуберкульозний диспансер №1","10 хв Торговий центр ""Полярний"" 14 хв Супермаркет ""Сільпо"" 15 хв Торговий центр ""Бережанський"" 20 хв AvtoFace - Ремонт Лобового скла, Тонування, Хімчистка Салона 24 хв Торговий будинок ""Партнер""",14 хв Парк Бережанський,"25 хв Автостанція ""Полісся"" (платформа №4)",,,https://dom.ria.com/uk/novostroyka-zhk-polaris-homeplaza-7397/
Київ,метро Дарниця,Дніпровський,ЖК Паркові Озера 2,Клас комфорт,5 планувань,від 76.01 м²,від 1 430 $ за м²,від 109 454 $,4 планування,від 76.01 м²,від 1 430 $ за м²,від 109 454 $,4 планування,від 76.01 м²,від 1 430 $ за м²,від 109 454 $,Всі секції,Дарниця 28 хв Лівобережна 17 хв Чернігівська 25 хв ,"1 хв Школа робототехніки та електроніки ""Robo House"" 1 хв Центр розвитку дитини ""Лімпопо""",4 хв Стоматологія 6 хв Амбулаторія загальної практики – сімейної медицини №7 18 хв Київська міська психоневрологічна лікарня №2,"16 хв Магазин канцтоварів 19 хв Магазин автозапчастин ""TopService"" 29 хв Kyiv Sebze Hali -  оптовий ринок фруктів і овочів","9 хв Парк ""Перемога"" 9 хв Майданчик для вигулу собак 14 хв КНС ""Комсомольська""",22 хв Госпіталь,,1 хв Дитячий садок №481,https://dom.ria.com/uk/novostroyka-zhk-parkovi-ozera-2-7420/
Київ,метро Либідська,Печерський,ЖК Nordica Residence (Нордіка Резіденс),Клас бізнес,64 квартири,від 102.77 м²,від 1 691 $ за м²,від 194 341 $,27 квартир,від 102.77 м²,від 1 691 $ за м²,від 194 341 $,9 квартир,від 102.77 м²,від 1 691 $ за м²,від 194 341 $,None,Либідська 28 хв Дружби народів 38 хв Видубичі 40 хв ,"10 хв Приватний дитячий садок та школа НВК ""Всезнайко"" 22 хв Центр дитячого розвитку ""Sweet kids""","21 хв Медичний центр ""VERDE Medical Clinic"" 22 хв Медичний центр здоров'я родини ""Добробут"" 24 хв Дитяча клінічна лікарня №7","8 хв Супермаркет ""Фуршет"" 26 хв Торговий центр ""Навігатор"" 35 хв Студія дизайну інтер'єру ""iHome Studio""","16 хв Парк ""Шашель Вуд"" 20 хв Сквер “Дружби народів” 21 хв Парк ""Новопечерські Липки""",11 хв Станція Київ-Деміївський 27 хв ст. м. Дружби Народів 31 хв ст. м. Либідська,"11 хв Міжнародний ліцей ""Діскавері скул""",,https://dom.ria.com/uk/novostroyka-zhk-nordica-residence-7428/
Київ,метро Шулявська,Шевченківський,ЖК Crystal Park Tower (Крістал Парк Тауер),Клас елітні,1 квартира,None,None,None,7 квартир,None,None,None,None,None,None,None,None,Шулявська 4 хв Політехнічний інститут 17 хв Дорогожичі 26 хв ,"1 хв Музична школа. Студія вокалу та музики ""Inspiration"" 10 хв Спеціалізована школа №71 (з поглибленим вивченням англійської мови)","12 хв Медичний центр ""Мій Лікар"" 13 хв Медичний центр ""Кий медікал""","9 хв Торговий центр ""Точка"" 10 хв Салон краси ""TUFI"" 20 хв Торговельний центр ""Навігатор""",14 хв Парк імені Пушкіна,"8 хв ст. м. Шулявська 15 хв станція ""Польова"" 17 хв вул. Вадима Гетьмана",,,https://dom.ria.com/uk/novostroyka-zhk-crystal-park-tower-7451/
Київ,метро Політехнічний інститут,Шевченківський,ЖК Alpina (Альпіна),Клас елітні,None,None,None,None,None,None,None,None,None,None,None,None,None,Політехнічний інститут 8 хв Шулявська 15 хв Лук'янівська 25 хв ,"2 хв Науково-технічна бiблiотека ім. Г.І. Денисенка 3 хв Ки́ївський політехні́чний інститу́т і́мені І́горя Сіко́рського  ""Igor Sikorsky Kyiv Polytechnic Institute""","8 хв Центр сімейної медицини «Віра Надія Любов» 9 хв Клініко-діагностичний центр ""Medikalcom""","10 хв Пивний магазин ""Beer Market"" 14 хв Торговий центр ""Smart Plaza Polytech"" 15 хв Торговий дім ""Інтеко""","3 хв Сквер ""Сосновий"" 4 хв Парк Київського політехнічного інституту 5 хв Сквер ім. Олени Теліги","6 хв станція ""Польова"" 11 хв ст. м. Політехнічний інститут",,,https://dom.ria.com/uk/novostroyka-zhk-alpina-7453/
Київ,метро Печерська,Печерський,Бізнес центр Lavrskiy (Лаврский),Клас бізнес,None,None,None,None,None,None,None,None,None,None,None,None,None,Печерська 18 хв Арсенальна 19 хв Дніпро 27 хв ,"3 хв Професійна музична академія ""Art Mus""","3 хв Амбулаторія №4, КНП ""ЦПМСД"" Печерського району 13 хв Стоматологічний кабінет ""Стомакон""","14 хв Торговий центр ""Арсенал""",9 хв Старий Лаврський сад 9 хв Парк Каса Співоче Поле 13 хв Парк Вічної Слави,"11 хв вул. Михайла Омеляновича-Павленка 11 хв  вул. Старонаводницька 16 хв ЖК ""Теремки""",3 хв Києво-Печерський ліцей №171,"5 хв Дитячий садок № 378 ""Веселка""",https://dom.ria.com/uk/novostroyka-bts-lavrskiy-7462/
Київ,метро Печерська,Печерський,Бізнес-центр Zitadelle (Цитадель),Клас бізнес,None,None,None,None,None,None,None,None,None,None,None,None,None,Печерська 15 хв Арсенальна 19 хв Дніпро 28 хв ,4 хв Школа раннього розвитку дітей Київ - Kvitka Znan,"2 хв Амбулаторія №4, КНП ""ЦПМСД"" Печерського району 12 хв Стоматологічний кабінет ""Стомакон""","14 хв Торговий центр ""Арсенал""",9 хв Старий Лаврський сад 10 хв Парк Каса Співоче Поле 13 хв Парк Вічної Слави,"11 хв вул. Михайла Омеляновича-Павленка 11 хв  вул. Старонаводницька 16 хв ЖК ""Теремки""",3 хв Києво-Печерський ліцей №171,"5 хв Дитячий садок № 378 ""Веселка""",https://dom.ria.com/uk/novostroyka-bts-zitadelle-7463/
Київ,метро Славутич,Дарницький,ЖК Рів'єра,Клас комфорт,3 планування,від 78.3 м²,від 1 068 $ за м²,від 83 624 $,2 планування,від 78.3 м²,від 1 068 $ за м²,від 83 624 $,2 планування,від 78.3 м²,від 1 068 $ за м²,від 83 624 $,None,Славутич 16 хв Осокорки 17 хв Позняки 13 хв ,"2 хв Приватна школа Олени Вєдєрнікової ""Olena Vedernikova Private School"" 3 хв Ліцей Indeversal 3 хв Школа-дитячий садок ""Мандаринка"" (Осокорки)","12 хв Мережа клінік Viva на Осокорках (метро Славутич) 15 хв Стоматологія ""ADONIS""","6 хв Інтернет-магазин ""Кіпресо"" 15 хв Ресторан їжі на винос ""Big Family Sushi"" 15 хв Салон краси Re-Life","6 хв Сквер на Малоземельній 20 хв Сад ""Острів кунс""",4 хв ст. м. Славутич 17 хв ст. м. Осокорки 34 хв вул. Срібнокільська,,,https://dom.ria.com/uk/novostroyka-zhk-riviera-7469/
Київ,метро Васильківська,"вул. Юлії Здановської(Михайла Ломоносова), 33/43",ЖК Вежа на Ломоносова,Клас комфорт,5 квартир,від 73.75 м²,від 1 682 $ за м²,від 124 055 $,1 квартира,від 73.75 м²,від 1 682 $ за м²,від 124 055 $,1 планування,від 73.75 м²,від 1 682 $ за м²,від 124 055 $,None,Васильківська 9 хв Виставковий центр 14 хв Іподром 25 хв ,"7 хв Художня студія ""Карандаш""","4 хв Центр лазерної проктології 4 хв Медичний та онкоцентр ""Клініка Варта"" 4 хв Інститут експериментальної патології, онкології і радіобіології ім. Р.Є. Кавецького НАН України 5 хв Національний інститут раку","5 хв Магазин ""Global Bio-marketing Group"" Лабораторне обладнання. Сервісне обслуговування медтехніки 9 хв Магазин Пижам 9 хв ТОВ ""ТехноВДС"" - торгівельне обладнання 20 хв Дисконтний супермаркет АТБ-Маркет","25 хв Парк ресторану ""Прага""",9 хв ст. м. Васильківська 15 хв ст. м. Виставковий центр 20 хв Зупинка БО «Школа-сходинки»,,5 хв Дитячий садок №402,https://dom.ria.com/uk/novostroyka-zhk-vezha-na-lomonosova-7474/
Київ,метро Лісова,Деснянський,ЖК Клубний будинок 2,Клас бізнес,2 планування,None,None,None,None,None,None,None,None,None,None,None,None,Лісова 21 хв Чернігівська 28 хв Дарниця 33 хв ,"8 хв Дошкільний навчальний заклад (ясла-садок) №175 10 хв Спеціалізована школа №23 (з поглибленим вивченням англійської мови) 33 хв Академія розвитку інтелекту ""Smartum""","14 хв Амбулаторія №6, КНП ""ЦПМСД №3"" Деснянського району 36 хв Медичний центр ""Лаян Віннер"" 41 хв Медичний центр «MinMax»","34 хв Магазин товарів для вагітних - Подушки ТМ ""Берегиня сну"" 38 хв Магазин ""Фермер"" 41 хв Торговий центр ""Маяк""","15 хв Дарницьке лісопаркове господарство ""БІЛОДІБРОВНЕ ЛІСНИЦТВО"" 36 хв Зона для прогулянок ""Полянка""",34 хв ст. м. Лісова 53 хв За вимогою,,,https://dom.ria.com/uk/novostroyka-zhk-klubnyi-budynok-2-7490/
Київ,метро Хрещатик,Печерський,ЖК Krauss Gallery (Краусс Гелері),Клас елітні,3 квартири,від 229.82 м²,від 7 809 $ за м²,від 1 794 714 $,4 квартири,від 229.82 м²,від 7 809 $ за м²,від 1 794 714 $,1 квартира,від 229.82 м²,від 7 809 $ за м²,від 1 794 714 $,None,Хрещатик 6 хв Майдан Незалежності 7 хв Палац спорту 10 хв ,"2 хв Комплекс інноваційного розвитку позашкільного навчання ""Release Education""","2 хв Клініка ""Здорова сім'я"" 3 хв Український медичний клуб 4 хв Британський офтальмологічний центр","4 хв Компанія ""МВЛ-ТРЕЙД"" 5 хв Підземний торговий центр ""Метроград"" 7 хв Інтернет-магазин ""ModnaKasta"" відділення №2",7 хв Сквер на площі ім. Івана Франка 8 хв Зона для прогулянок 8 хв Сквер у провулку Козловського,5 хв Центральний універмаг 6 хв ст. м. Хрещатик,,1 хв Дошкільний навчальний заклад № 171 «Джерельце»,https://dom.ria.com/uk/novostroyka-zhk-krauss-gallery-7514/
Київ,метро Контрактова площа,Подільський,КБ Liberty Residence (Ліберті Резіденс),Клас елітні,11 квартир,від 347.2 м²,від 2 750 $ за м²,від 954 800 $,10 квартир,від 347.2 м²,від 2 750 $ за м²,від 954 800 $,4 квартири,від 347.2 м²,від 2 750 $ за м²,від 954 800 $,None,Контрактова площа 17 хв Тараса Шевченка 20 хв Лук'янівська 22 хв ,"5 хв Комп'ютерна школа ""Beetroot Academy"" 6 хв Спеціальна школа-інтернат І-ІІ ступеня №8 15 хв Школа комп`ютерної графіки та анімації ""TFX Workshop"" 31 хв Спеціалізована школа №106 (з поглибленим вивченням англійської мови)","8 хв Медичне об'єднання для вчених НАН України 17 хв Лабораторія ""Нова діагностика"" 18 хв Медичний центр ""IV Therapy"" (Внутрішньовенна вітамінна терапія)","11 хв Магазин взуття ""DemmyVik"" 13 хв Студія камінів ""KAMIN-bio"" 13 хв Импортно-экспортная компания товаров из Китая ""CHINATOWN""","6 хв Парк «Щекавиця» 13 хв Парк ""Майдан Мистецтв"" 14 хв Фонтан-Каскад",14 хв ст. м. Контрактова площа,,,https://dom.ria.com/uk/novostroyka-kb-liberty-residence-7534/
Київ,метро Чернігівська,Дніпровський,ЖК Курнатовського,Клас комфорт,96 квартир,від 74.39 м²,від 1 019 $ за м²,від 78 144 $,67 квартир,від 74.39 м²,від 1 019 $ за м²,від 78 144 $,13 квартир,від 74.39 м²,від 1 019 $ за м²,від 78 144 $,None,Чернігівська 19 хв Лісова 26 хв Дарниця 26 хв ,"4 хв Клуб для батьків з малюками ""Зернятко""","7 хв Центр первинної медико-санітарної допомоги. Філія №4 7 хв Дитячий медичний центр ""Бебі"" 7 хв Амбулаторія №8, КНП ""ЦПМСД №1"" Дніпровського району","6 хв Ломбард ""Скарбниця"" 6 хв Перукарня ""Зореслава"" 9 хв Гіпермаркет ""Епіцентр К""",5 хв парк Аврора 11 хв Парк 12 хв Парк відпочинку «Берізка»,20 хв вул. Валентина Сєрова,7 хв Середня загальноосвітня школа І-ІІІ ступенів №184 9 хв Середня загальноосвітня школа І-ІІІ ступенів №4,,https://dom.ria.com/uk/novostroyka-zhk-kurnatovskogo-7552/
Київ,метро Голосіївська,Голосіївський,Таунхаус Avenue House (Авеню Хаус),Клас елітні,1 таунхаус,None,None,None,None,None,None,None,None,None,None,None,None,Голосіївська 8 хв Деміївська 16 хв Васильківська 25 хв ,"6 хв ДУЗ №131 КОМБИНИРОВАННОГО ТИПА С САНАТОРНЫМИ ГРУППАМИ ДЛЯ ДЕТЕЙ С ХРОНИЧЕСКИМИ НЕСПЕЦИФИЧЕСКИМИ ЗАБОЛЕВАНИЯМИ ОРГАНОВ ДЫХАНИЯ И С ХУДОЖЕСТВЕННО-ЭСТЕТИЧЕСКОЙ СПЕЦИАЛИЗАЦИЕЙ 6 хв Педагог із вокалу ""Вокал демеевка"" 7 хв Заклад дошкільної освіти №131 ""Світлячок""","19 хв Київська міська наркологічна клінічна лікарня, відділення №1","5 хв ТОВ ""Ракита"" (Центр зеленого будівництва ""Благоустрій"") 13 хв Фірмовий магазин ""Закарпатський & Ко"" 13 хв Фото на документи 13 хв Металошукачі, металодетектори","18 хв Парк Трипільської культури 13 хв Парк ""Урочище Совки""",9 хв ст. м. Голосіївська 20 хв Київський центральний автовокзал,,,https://dom.ria.com/uk/novostroyka-taunkhaus-avenue-house-7621/
